CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-02-0317-46,01-301,CIUDAD CAPITAL,ZONA 2,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CULTURAL AMERICANO,7A AVENIDA 4-11,22320426,ERICK ESTUARDO SANCHEZ ARCHILA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-0318-46,01-301,CIUDAD CAPITAL,ZONA 2,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO DE ESTUDIOS DIVERSIFICADOS (C.E.D.),3A AVE 9-00 INTERIOR FINCA EL ZAPOTE,24111800,ERICK ESTUARDO SANCHEZ ARCHILA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-0321-46,01-301,CIUDAD CAPITAL,ZONA 2,COLEGIO 'VANGUARDIA JUVENIL',11 AVENIDA 5-27,22541748,ERICK ESTUARDO SANCHEZ ARCHILA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-3051-46,00-000,CIUDAD CAPITAL,ZONA 2,COLEGIO 'DANIEL DEFOE',11 AVENIDA 13-19,22511594,Sin especificar,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-7079-46,00-000,CIUDAD CAPITAL,ZONA 2,CPUM COLEGIO MIXTO CRISTIANO EN COMPUTACION 'LAS AMERICAS',5A. CALLE 5-37,22324231,Sin especificar,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-7194-46,00-000,CIUDAD CAPITAL,ZONA 2,CPUM 'VERSALLES',7AV. 1-13,22384834,Sin especificar,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-7736-46,01-301,CIUDAD CAPITAL,ZONA 2,COLEGIO MIXTO BILINGUE NUEVO AMANECER,13 AVE. 10-20 CIUDAD NUEVA,22091616,ERICK ESTUARDO SANCHEZ ARCHILA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-7873-46,01-627,CIUDAD CAPITAL,ZONA 2,COLEGIO SAN ANGEL (BACHILLERATO POR MADUREZ),14 CALLE 11-06 CIUDAD NUEVA,22540214,ISAURA AMPARO RECINOS CARRILLO,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-02-8272-46,01-403,CIUDAD CAPITAL,ZONA 2,COLEGIO MIXTO EN COMPUTACION MILENIUM (POR MADUREZ),5A. CALLE 5-37,41893313,CARLOS HUMBERTO GONZALEZ DE LEON,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-02-8406-46,01-102,CIUDAD CAPITAL,ZONA 2,COLEGIO CATOLICO MIXTO 'LICEO TRINITARIO',11 AVENIDA 'A' 6-04,52552704,ZIZI ARELY LOPEZ CHINCHILLA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-9373-46,01-301,CIUDAD CAPITAL,ZONA 2,COLEGIO MANANTIAL,"11 AVENIDA 11-56, CIUDAD NUEVA",22894901,ERICK ESTUARDO SANCHEZ ARCHILA,ETELVINA CARRILLO ALVAREZ DE XUYA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0007-46,01-302,CIUDAD CAPITAL,ZONA 3,"COLEGIO MIXTO ""JESUS DEL CONSUELO""",4A. AVENIDA 25-11,24406290,HECTOR EDELMIRO FLORES BRINGUEZ,MARIO AUGUSTO ALFARO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0029-46,01-403,CIUDAD CAPITAL,ZONA 3,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA Y DIVERSIFICADO NOCTURNO,6A AVENIDA 27-36,24754027,CARLOS HUMBERTO GONZALEZ DE LEON,JESÚS ANTONIO AGUILAR MARTÍNEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0035-46,01-302,CIUDAD CAPITAL,ZONA 3,"LICEO TECNOLÓGICO ""EL HOGAR""",6A. AVENIDA 38-64,24751926,HECTOR EDELMIRO FLORES BRINGUEZ,LILIAN JEANNETTE DIAZ AGUIRRE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0045-46,01-302,CIUDAD CAPITAL,ZONA 3,COLEGIO MESOAMERICA,7A. AVENIDA 30-47 ZONA 3,40828626,HECTOR EDELMIRO FLORES BRINGUEZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0046-46,01-618,CIUDAD CAPITAL,ZONA 3,FUNDACION AMG INTERNACIONAL (AVANCE DEL MINISTERIO DEL EVANGELIO),14 AVENIDA 36-09,30390425,ROSA GEORGINA RIOS CASTILLO,LIGIA CRISTABEL GUEVARA COL DE SANTA MARIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0364-46,00-000,CIUDAD CAPITAL,ZONA 3,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'CENTRO PROFESIONAL DE COMPUTACION',AVE. ELENA 19-48,Sin especificar,Sin especificar,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0365-46,01-,CIUDAD CAPITAL,ZONA 3,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ESCUELA NORMAL JUANA DE ARCO,14 CALLE C 4-40,Sin especificar,MARIA FELICITA ROQUE CARRERA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0368-46,01-102,CIUDAD CAPITAL,ZONA 3,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO PROFESIONAL DE COMPUTACION,19 CALLE 0-53,Sin especificar,ZIZI ARELY LOPEZ CHINCHILLA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-0370-46,01-,CIUDAD CAPITAL,ZONA 3,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA GUATEMALTECO,AVENIDA BOLIVAR 30-00,22515412,MARIA FELICITA ROQUE CARRERA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-8227-46,01-302,CIUDAD CAPITAL,ZONA 3,LICEO MARIANO GALVEZ,17 CALLE 4-03,22306679,HECTOR EDELMIRO FLORES BRINGUEZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-03-8280-46,01-402,CIUDAD CAPITAL,ZONA 3,COLEGIO EVANGELICO MIXTO FRANCISCO G. PENZOTTI (POR MADUREZ),4A. AVE. 31-49,24402064,CARLOS HUMBERTO GONZALEZ DE LEON,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,SABATINO,GUATEMALA NORTE
00-04-9689-46,01-312,CIUDAD CAPITAL,ZONA 4,INSTITUTO GUATEMALTECO AMERICANO IGA,"RUTA 1, 4-05",24225555,AMADO SALOMON FLORES PEREZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-04-9791-46,99-001,CIUDAD CAPITAL,ZONA 4,ESCUELA DE CAPACITACION EN ADMINISTRACION MUNICIPAL ECAM,DIAGONAL,Sin especificar,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,Sin especificar,DIVERSIFICADO,MUNICIPAL,URBANA,TEMPORAL TITULOS,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-05-0007-46,01-313,CIUDAD CAPITAL,ZONA 5,ESCUELA SUPERIOR DE COMERCIO Y ACADEMIA ROYAL,27 CALLE 23-14,23316077,ERICK GUILLERMO SANCHEZ MARTINEZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0025-46,01-314,CIUDAD CAPITAL,ZONA 5,COLEGIO MADRID - BARCELONA,30 CALLE 22-38,35131111,PLINIO IVAN HERNANDEZ,JOSÉ RAFAEL VILLELA BOLLATH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0029-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO LOS NIÑOS DE SANTA MARIA,36 AVENIDA 12-37 JARDINES DE LA ASUNCIÓN,23349314,ERICK GUILLERMO SANCHEZ MARTINEZ,LAURA VERÓNICA MONZÓN CÁRCAMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0458-46,01-405,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCACIONAL MINERVA CEDMA,13 AVENIDA 25-74,23325242,BLANCA SARAI GUTIERREZ PINEDA,MARIA DEL SOCORRO TANCHEZ ROJAS DE DE LEON,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-2214-46,01-314,CIUDAD CAPITAL,ZONA 5,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA LICEO GUATEMALA,10A AVE. 33-03,22095400,PLINIO IVAN HERNANDEZ,ERICKA DEL ROSARIO DARDÓN PAREDES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-2481-46,01-313,CIUDAD CAPITAL,ZONA 5,INSTITUTO GUATEMALTECO ESPAÑOL,DIAGONAL 14 23-55 COL VIVIBIEN,23321393,ERICK GUILLERMO SANCHEZ MARTINEZ,MARÍA ANTONIETA ROSALES MURALLES DE RALÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8161-46,00-000,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCACIONAL MINERVA 'CEDMA',13 AVE. 25-74,23325242,Sin especificar,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-8233-46,01-313,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCATIVO ACRÓPOLIS,12 CALLE B 40-81 JARDINES DE LA ASUNCION,23360138,ERICK GUILLERMO SANCHEZ MARTINEZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8941-46,01-313,CIUDAD CAPITAL,ZONA 5,ESCUELA MILITAR DE MÚSICA MAESTRO RAFAEL ALVAREZ OVALLE,23 AVENIDA FINAL 32-36,44974290,ERICK GUILLERMO SANCHEZ MARTINEZ,HUGO FERNANDO RODRÍGUEZ CIFUENTES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-9794-46,99-001,CIUDAD CAPITAL,ZONA 5,INSTITUTO TECNICO FEMENINO,28 AVENIDA A 33-50,Sin especificar,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,DORIS LEONOR ZUNUN CARRERA,DIVERSIFICADO,OFICIAL,URBANA,TEMPORAL TITULOS,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-9801-46,99-001,CIUDAD CAPITAL,ZONA 5,INSTITUTO MIXTO NOCTURNO 'JOSE BATRES MONTUFAR',28 CALLE,Sin especificar,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-9827-46,99-001,CIUDAD CAPITAL,ZONA 5,LICEO PARTICULAR MIXTO EPISCOPAL,13 CALL EY 7A. AVENIDA,Sin especificar,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-06-0032-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA""","FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA",22102943,CARLOS HUMBERTO GONZALEZ DE LEON,JOVITA ANTONIETA MIRANDA BARRIOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0056-46,01-101,CIUDAD CAPITAL,ZONA 6,"ESCUELA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL ""VILLA DE LOS NIÑOS""",16 AVENIDA FINAL 22-99 PROYECTO 4-4,22543139,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,JULIO CARLOS HERNANDEZ DIEGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0057-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO MIXTO PRIVADO ""JOSÉ ERNESTO MONZÓN",21 AVEIDA 15-42,22886512,CARLOS HUMBERTO GONZALEZ DE LEON,LILIAN ESPERANZA GONZLEZ DE LEON,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-06-0077-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""",FINAL CALZADA JOSE MILLA Y VIDAURRE Y 27 AVENIDA,22702943,CARLOS HUMBERTO GONZALEZ DE LEON,JOVITA ANTONIETA MIRANDA BARRIOS DE ESTRADA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0526-46,01-102,CIUDAD CAPITAL,ZONA 6,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""ROMULO GALLEGOS FREIRE""",15 CALLE Y 13 AVENIDA,22894358,ZIZI ARELY LOPEZ CHINCHILLA,CARMEN ORALIA RODRIGUEZ FRANCO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0527-46,01-102,CIUDAD CAPITAL,ZONA 6,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'DR. RODOLFO ROBLES',1A CALLE 12-71,22885288,ZIZI ARELY LOPEZ CHINCHILLA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-3097-46,01-101,CIUDAD CAPITAL,ZONA 6,ACADEMIA DE LA POLICIA NACIONAL,"15 CALLE 16-00, COLONIA CIPRESALES ZONA 6",22563642,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,Sin especificar,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-7241-46,01-101,CIUDAD CAPITAL,ZONA 6,"CENTRO ESTUDIANTIL FENIX ""CEF""",1A. CALLE A 22-52 COLONIA LOS ANGELES,22545281,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,ANGELICA BECILIA PACHECO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-7958-46,01-402,CIUDAD CAPITAL,ZONA 6,COLEGIO DE FORMACION PROFESIONAL EN COMPUTACION (C.F.P.C),"28 CALLE 15-08, COLONIA EL MOLINO",22891784,CARLOS HUMBERTO GONZALEZ DE LEON,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-07-0004-46,01-101,CIUDAD CAPITAL,ZONA 7,LICEO TECNICO COMERCIAL MIRAMUNDO,"4A. AVENIDA 0-24, COLONIA LANDIVAR",Sin especificar,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,MARIO GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0039-46,01-623,CIUDAD CAPITAL,ZONA 7,ESCUELA EXPERIMENTAL DE APLICACIONES MIRON MUÑOZ FE Y ALEGRIA NO. 40,"32 AVENIDA ""B"" 38-01 COLONIA EL AMPARO II",24319988,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,CANDICE MARIA HERNANDEZ LUNA DE TREJO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0054-46,01-619,CIUDAD CAPITAL,ZONA 7,COLEGIO TECNICO EN COMPUTACION SAN JUAN,9A CALLE 8-63 Y 8-67 CLONIA QUINTA SAMAYOA,24754329,JUAN WALDEMAR CABRERA MENDEZ,JESSICA ALEJANDRA VEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0118-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,"CARRIL AUXILIAR ANILLO PERIFERICO 14-12, CIUDAD DE PLATA II",24739757,ANDREA VANESSA ALDANA VILLAGRAN DE CASTRO,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA OCCIDENTE
00-07-0167-46,01-617,CIUDAD CAPITAL,ZONA 7,CENTRO INTEGRAL EDUCATIVO LA SABIDURÍA-CIES-,"13 AVENIDA 3-76 ZONA 7, COLONIA QUINTA SAMAYOA",40905637,MARIA DEL ROSARIO VARGAS SANDOVAL,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0177-46,01-409,CIUDAD CAPITAL,ZONA 7,ESCUELA DE CIENCIAS COMERCIALES Y BACHILLERATO EN MERCADOTECNIA ANEXOS,"AVENIDA MOCTEZUMA 31-02, COLONIA BETHANIA, ZONA 7",24316821,DELMY CONSUELO GARCIA DONIS DE GOMEZ,JOSE EDUARDO CHOJOLÁN RODAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0651-46,01-401,CIUDAD CAPITAL,ZONA 7,ESCUELA NACIONAL DE CIENCIAS COMERCIALES NO.2,CALZADA SAN JUAN 32-50,24397960,IXMUCANE ALDANA VILLAVICENCIO,MARGOTH LETICIA ESTURBAN HERRARTE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0652-46,01-623,CIUDAD CAPITAL,ZONA 7,ESCUELA TECNICA GUATEMALA,13 CALLE A 29-46 COLONIA CIUDAD DE PLATA I,23143517,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,MARIO GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0654-46,01-409,CIUDAD CAPITAL,ZONA 7,ESCUELA NAC. DE CIENCIAS COMERCIALES NOCT. ADSC. AL INEB MIGUEL GARCIA GRANADOS,AVE MOCTEZUMA 31-02 COLONIA BETHANIA,50166164,DELMY CONSUELO GARCIA DONIS DE GOMEZ,HUGO LEONEL AQUINO ABREGO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-2501-46,01-619,CIUDAD CAPITAL,ZONA 7,COLEGIO DE INFORMÁTICA IMB-PC NO.1,CALZADA SAN JUAN 32 AV 4-04,23025400,JUAN WALDEMAR CABRERA MENDEZ,CARLOS ALFREDO DE LEÓN ALB,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-4330-46,01-,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNICO VOCACIONAL CENTRO AMERICANO BILINGUE,33 AVENIDA 13-09 JARDINES DE TIKAL II,Sin especificar,MARIA FELICITA ROQUE CARRERA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
